overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
62,47,MPR-1EDC5F5E1D,Teluk Bakau,Kuala Kampar,Pelalawan,0.39,P2,Regenerasi alami terbantu,69.4,59,84,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
63,48,MPR-3D3B26B92B,Teluk Bakau,Kuala Kampar,Pelalawan,0.39,P2,Regenerasi alami terbantu,69.4,59,84,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
64,49,MPR-777BE358F9,Teluk Bakau,Kuala Kampar,Pelalawan,0.37,P2,Regenerasi alami terbantu,69.4,59,84,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
65,50,MPR-8E69ACA596,Teluk Bakau,Kuala Kampar,Pelalawan,0.37,P2,Regenerasi alami terbantu,69.4,59,84,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
66,51,MPR-B8E45074BF,Teluk Bakau,Kuala Kampar,Pelalawan,0.36,P2,Regenerasi alami terbantu,69.4,59,84,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
67,16,MPR-E9CF757A48,Teluk Beringin,Kuala Kampar,Pelalawan,0.28,P2,Regenerasi alami terbantu,69.4,58,85,32,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
68,17,MPR-1B68D2ACFA,Teluk Beringin,Kuala Kampar,Pelalawan,0.26,P2,Regenerasi alami terbantu,69.4,58,85,32,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
69,1,MPR-7EDD616E29,Sungai Mas,Kuala Kampar,Pelalawan,0.58,P2,Regenerasi alami terbantu,69.1,58,84,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
70,2,MPR-730FE7A6DB,Sungai Mas,Kuala Kampar,Pelalawan,0.45,P2,Regenerasi alami terbantu,69.1,58,84,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
71,3,MPR-A636C66B82,Sungai Mas,Kuala Kampar,Pelalawan,0.43,P2,Regenerasi alami terbantu,69.1,58,84,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
72,52,MPR-0ADEB1AB0D,Teluk Bakau,Kuala Kampar,Pelalawan,1.91,P2,Regenerasi alami terbantu,69.0,61,82,36,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
73,53,MPR-52E4DACB08,Teluk Bakau,Kuala Kampar,Pelalawan,1.82,P2,Regenerasi alami terbantu,69.0,61,82,36,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
74,18,MPR-DA2C4F4844,Teluk Beringin,Kuala Kampar,Pelalawan,1.076,P2,Regenerasi alami terbantu,69.0,59,83,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
75,1,MPR-2E8390F41B,Teluk,Kuala Kampar,Pelalawan,0.5,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
76,4,MPR-CCC4BED022,Sungai Mas,Kuala Kampar,Pelalawan,0.31,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
77,5,MPR-CDB0499A43,Sungai Mas,Kuala Kampar,Pelalawan,0.23,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
78,6,MPR-A5CE16E489,Sungai Mas,Kuala Kampar,Pelalawan,0.2,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
